qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	Howard_DEP	1e-05	1892	7.71586952484372e-06	1.38256069640863e-07	0.979128746001205	0.0175411024311832	0.00332229744201635	ok	
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	Howard_DEP	1e-06	1892	7.73900968772407e-06	1.38670704434827e-07	0.982065187395185	0.0175937088115855	0.0003332261128377	ok	
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	FinnGen_DEP	1e-05	1892	7.28843923626515e-06	5.37416617599509e-07	0.924888678681334	0.0681902039843054	0.00691329147850666	ok	
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	FinnGen_DEP	1e-06	1892	7.3340715531995e-06	5.40781338718135e-07	0.930679330417109	0.0686171372273716	0.000695657502627051	ok	
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	deLange_IBD	1e-05	1892	3.57450475209195e-21	7.88027581397256e-06	4.53597659242693e-16	0.999991581880058	5.37844126917654e-07	ok	
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	deLange_IBD	1e-06	1892	3.57450648236654e-21	7.88027962849847e-06	4.53597878811152e-16	0.999992065935933	5.37844387266456e-08	ok	
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	FinnGen_IBD	1e-05	1892	4.34172324760095e-18	7.88027565230851e-06	5.50956185199865e-13	0.999991561344672	5.58379124172271e-07	ok	
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_small_intestine_eQTL	eQTL	FinnGen_IBD	1e-06	1892	4.34172542949692e-18	7.88027961247379e-06	5.50956462078194e-13	0.999992063881898	5.58379404780936e-08	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	Howard_DEP	1e-05	1892	7.55157033601441e-12	1.35312090349925e-13	0.97998300230717	0.0175572719127154	0.00245972577242563	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	Howard_DEP	1e-06	1892	7.56832473908776e-12	1.3561230251793e-13	0.982157256070971	0.0175962256133902	0.000246518307934424	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	FinnGen_DEP	1e-05	1892	7.12899149470591e-12	5.25659660701758e-13	0.925144066405058	0.0682093017821981	0.00664663180508803	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	FinnGen_DEP	1e-06	1892	7.17189353682202e-12	5.28823063676627e-13	0.930711553717934	0.0686197831721596	0.00066866310220662	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	deLange_IBD	1e-05	1892	3.49537028044803e-27	7.70581767048229e-12	4.53601477466551e-16	0.99999999999158	7.1318907499265e-13	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	deLange_IBD	1e-06	1892	3.49537028045027e-27	7.70581767048722e-12	4.53601477466841e-16	0.99999999999222	7.13189074993107e-14	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	FinnGen_IBD	1e-05	1892	4.24560373238796e-24	7.70581767047764e-12	5.5096083425583e-13	0.99999999999099	7.49979927308457e-13	ok	
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_small_intestine_eQTL	eQTL	FinnGen_IBD	1e-06	1892	4.24560373239082e-24	7.70581767048284e-12	5.50960834256202e-13	0.999999999991665	7.49979927308965e-14	ok	
block154__QTD000356__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_blood_eQTL	eQTL	Howard_DEP	1e-05	1959	1.24977074584647e-05	2.3678881499194e-07	0.978240537692583	0.0185310970395427	0.00321563077160144	ok	
block154__QTD000356__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_blood_eQTL	eQTL	Howard_DEP	1e-06	1959	1.25339816498403e-05	2.37476086863133e-07	0.981079849189791	0.0185848829488901	0.000322496403583328	ok	
block154__QTD000356__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_blood_eQTL	eQTL	FinnGen_DEP	1e-05	1959	1.17392344640455e-05	9.51943722278652e-07	0.9188721269379	0.0745054511275913	0.0066097307563224	ok	
block154__QTD000356__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_blood_eQTL	eQTL	FinnGen_DEP	1e-06	1959	1.18094862359969e-05	9.57640493519818e-07	0.92437098594032	0.0749513183583535	0.000664928574597488	ok	
